id,progres_skripsi,frekuensi_bimbingan_bulanan,keterlambatan_milestone_hari,streak_aktivitas_mingguan,jumlah_revisi_aktif,risiko_keterlambatan
268,40,4,3,7,3,On Track
269,46,2,16,2,5,Cukup Aman
270,99,4,4,7,2,On Track
271,26,4,3,6,2,On Track
272,86,2,2,7,3,On Track
273,30,2,5,6,0,On Track
274,39,4,3,6,3,On Track
275,63,4,0,5,1,On Track
276,94,2,4,6,3,Cukup Aman
277,86,4,25,4,5,Berisiko
278,52,0,13,5,8,Cukup Aman
279,33,2,0,7,0,On Track
280,42,5,4,4,2,On Track
281,77,4,4,7,1,On Track
282,31,5,2,5,2,On Track
283,93,3,4,7,0,On Track
284,33,5,4,7,3,On Track
285,66,5,16,7,1,Cukup Aman
286,41,5,1,6,3,On Track
287,92,3,1,6,1,On Track
288,62,2,0,5,3,On Track
289,74,2,2,7,0,On Track
290,26,4,4,4,2,On Track
291,95,3,1,6,2,On Track
292,36,4,4,4,0,On Track
293,53,5,4,6,1,On Track
294,46,3,1,6,0,On Track
295,44,4,3,7,2,On Track
296,49,3,1,6,3,On Track
297,33,3,4,6,0,On Track
298,96,4,1,6,3,On Track
299,29,4,1,6,3,On Track
300,75,2,1,6,0,On Track
